pid,arrival_stop,destination_stop,arrival_time,departure_time,flag,pod_departure,from_stop,path,travel_time,waiting_time,destination_time,distance
273,C,B,64670,64858,1,64670,,CHB,180,0,64850,2
274,C,D,44920,45288,1,45010,,CHBD,270,90,45190,3
275,F,B,80351,80539,1,80351,,FDB,180,0,80531,2
276,I,C,46737,46925,1,46737,,IHC,180,0,46917,2
277,J,A,33523,33801,1,33523,,JIHA,270,0,33793,3
278,C,I,69473,69661,1,69473,,CHI,180,0,69653,2
279,A,F,54441,54756.278,1,54441,,ABDF,307.278,0,54748.278,3.4142
280,G,I,78472,78660,1,78472,,GEI,180,0,78652,2
281,F,G,40155,40343,1,40155,,FJG,180,0,40335,2
282,C,F,56814,57182,1,56814,,CHBDF,360,0,57174,4
283,J,D,77656,77844,1,77656,,JID,180,0,77836,2
284,C,J,34265,34543,1,34265,,CHIJ,270,0,34535,3
285,E,D,79350,79538,1,79350,,EID,180,0,79530,2
286,J,D,78781,78969,1,78781,,JID,180,0,78961,2
287,A,J,55872,56150,1,55872,,AHIJ,270,0,56142,3
288,J,G,55202,55300,1,55202,,JG,90,0,55292,1
289,D,B,85123,85311,1,85213,,DB,90,90,85213,1
290,I,A,77865,78053,1,77865,,IHA,180,0,78045,2
291,J,C,54717,54995,1,54717,,JIHC,270,0,54987,3
292,C,F,54763,55158,1,54790,,CHBDF,360,27,55123,4
293,D,I,25698,25796,1,25698,,DI,90,0,25788,1
294,G,A,78053,78368.278,1,78053,,GECA,307.278,0,78360.278,3.4142
295,G,F,48581,48769,1,48581,,GJF,180,0,48761,2
296,B,H,43789,43887,1,43789,,BH,90,0,43879,1
297,J,H,73450,73638,1,73450,,JIH,180,0,73630,2
298,J,A,39951,40229,1,39951,,JIHA,270,0,40221,3
299,A,F,48248,48563.278,1,48248,,ABDF,307.278,0,48555.278,3.4142
300,C,A,70879,71014.278,1,70879,,CA,127.27799999999999,0,71006.278,1.4142
301,C,H,82047,82145,1,82047,,CH,90,0,82137,1
302,A,J,60198,60476,1,60198,,AHIJ,270,0,60468,3
303,G,J,72718,72816,1,72718,,GJ,90,0,72808,1
304,E,D,23186,23374,1,23186,,EID,180,0,23366,2
305,I,G,47181,47369,1,47181,,IJG,180,0,47361,2
306,H,G,56694,56972,1,56694,,HCEG,270,0,56964,3
307,B,C,58023,58211,1,58023,,BHC,180,0,58203,2
308,G,C,78657,78845,1,78657,,GEC,180,0,78837,2
309,C,B,45350,45628,1,45440,,CHB,180,90,45530,2
310,A,H,42728,42826,1,42728,,AH,90,0,42818,1
311,C,I,65512,65700,1,65512,,CHI,180,0,65692,2
312,A,J,63621,63899,1,63621,,AHIJ,270,0,63891,3
313,B,D,63368,63466,1,63368,,BD,90,0,63458,1
314,J,I,29950,30048,1,29950,,JI,90,0,30040,1
315,G,E,25990,26088,1,25990,,GE,90,0,26080,1
316,C,B,24926,25114,1,24926,,CHB,180,0,25106,2
317,C,F,46175,46543,1,46175,,CHBDF,360,0,46535,4
318,I,G,61432,61622,1,61432,,IJG,180,0,61612,2
319,C,A,67475,67610.278,1,67475,,CA,127.27799999999999,0,67602.278,1.4142
320,A,G,38344,38659.278,1,38344,,ACEG,307.278,0,38651.278,3.4142
321,E,B,67790,68158,1,67880,,ECHB,270,90,68060,3
322,D,A,23714,23939.278,1,23714,,DBA,217.278,0,23931.278,2.4142
323,H,F,52260,52538,1,52260,,HBDF,270,0,52530,3
324,A,J,61642,61920,1,61642,,AHIJ,270,0,61912,3
325,G,C,68516,68704,1,68516,,GEC,180,0,68696,2
326,D,J,28358,28546,1,28358,,DFJ,180,0,28538,2
327,G,H,62411,62689,1,62411,,GECH,270,0,62681,3
328,G,J,64360,64458,1,64360,,GJ,90,0,64450,1
329,E,J,47680,47958,1,47770,,EIJ,180,90,47860,2
330,F,B,40897,41175,1,40987,,FDB,180,90,41077,2
331,G,I,68464,68652,1,68464,,GEI,180,0,68644,2
332,H,E,64585,64773,1,64585,,HCE,180,0,64765,2
333,E,G,50308,50496,1,50398,,EG,90,90,50398,1
334,A,B,40872,41007.278,1,40872,,AB,127.27799999999999,0,40999.278,1.4142
335,F,B,45516,45704,1,45516,,FDB,180,0,45696,2
336,F,I,47056,47244,1,47056,,FDI,180,0,47236,2
337,B,J,61195,61473,1,61195,,BHIJ,270,0,61465,3
338,E,F,38537,38815,1,38537,,EIDF,270,0,38807,3
339,G,D,57958,58236,1,57958,,GEID,270,0,58228,3
340,G,E,34918,35016,1,34918,,GE,90,0,35008,1
341,H,A,29424,29522,1,29424,,HA,90,0,29514,1
342,F,I,23386,23574,1,23386,,FDI,180,0,23566,2
343,A,G,53480,53795.278,1,53480,,ACEG,307.278,0,53787.278,3.4142
344,C,D,50821,51189,1,50911,,CHBD,270,90,51091,3
345,G,B,38511,38879,1,38511,,GECHB,360,0,38871,4
346,D,B,34701,34799,1,34701,,DB,90,0,34791,1
347,C,B,54386,54574,1,54386,,CHB,180,0,54566,2
348,B,C,50766,50954,1,50766,,BHC,180,0,50946,2
349,E,J,56224,56412,1,56224,,EIJ,180,0,56404,2
350,I,D,31458,31556,1,31458,,ID,90,0,31548,1
351,E,H,23317,23595,1,23407,,ECH,180,90,23497,2
352,D,I,29588,29686,1,29588,,DI,90,0,29678,1
353,H,A,28173,28361,1,28263,,HA,90,90,28263,1
354,G,J,46046,46144,1,46046,,GJ,90,0,46136,1
355,I,E,51800,51898,1,51800,,IE,90,0,51890,1
356,D,H,79322,79600,1,79412,,DBH,180,90,79502,2
357,J,F,67034,67132,1,67034,,JF,90,0,67124,1
358,B,G,57474,57842,1,57474,,BHCEG,360,0,57834,4
359,J,H,77567,77755,1,77567,,JIH,180,0,77747,2
360,H,D,60364,60552,1,60364,,HBD,180,0,60544,2
361,D,A,31669,31894.278,1,31669,,DBA,217.278,0,31886.278,2.4142
362,A,B,47692,47827.278,1,47692,,AB,127.27799999999999,0,47819.278,1.4142
363,C,G,69104,69292,1,69104,,CEG,180,0,69284,2
364,F,H,58310,58588,1,58310,,FDBH,270,0,58580,3
365,B,G,21796,22164,1,21796,,BHCEG,360,0,22156,4
366,C,A,43321,43546.278,1,43411,,CA,127.27799999999999,90,43448.278,1.4142
367,D,G,57161,57529,1,57251,,DFJG,270,90,57431,3
368,F,G,61173,61361,1,61173,,FJG,180,0,61353,2
369,G,I,31035,31223,1,31035,,GEI,180,0,31215,2
370,I,H,75423,75521,1,75423,,IH,90,0,75513,1
371,F,H,48408,48776,1,48498,,FDBH,270,90,48678,3
372,E,D,74130,74318,1,74130,,EID,180,0,74310,2
373,G,J,26894,26992,1,26894,,GJ,90,0,26984,1
374,D,E,78266,78454,1,78266,,DIE,180,0,78446,2
375,J,A,23960,24238,1,23960,,JIHA,270,0,24230,3
376,B,C,49704,49892,1,49704,,BHC,180,0,49884,2
377,A,H,39302,39400,1,39302,,AH,90,0,39392,1
378,H,B,69352,69450,1,69352,,HB,90,0,69442,1
379,J,C,54034,54312,1,54034,,JIHC,270,0,54304,3
380,F,D,79462,79650,1,79552,,FD,90,90,79552,1
381,H,E,77284,77472,1,77284,,HCE,180,0,77464,2
382,B,C,21734,21922,1,21734,,BHC,180,0,21914,2
383,I,B,54342,54530,1,54342,,IHB,180,0,54522,2
384,A,H,42588,42686,1,42588,,AH,90,0,42678,1
385,H,A,45775,45873,1,45775,,HA,90,0,45865,1
386,G,J,29819,29917,1,29819,,GJ,90,0,29909,1
387,C,I,83322,83510,1,83322,,CHI,180,0,83502,2
388,H,A,46575,46673,1,46575,,HA,90,0,46665,1
389,D,C,66139,66417,1,66139,,DBHC,270,0,66409,3
390,F,H,71240,71518,1,71240,,FDBH,270,0,71510,3
391,E,F,86232,86510,1,86232,,EIDF,270,0,86502,3
392,I,A,61683,61871,1,61683,,IHA,180,0,61863,2
